,gbifID,identifier,species,genus,family,class,phylum,file_name
3792,1052813469,http://www.tierstimmenarchiv.de/recordings/Sylvia_atricapilla_Tre_N0083_10_short.mp3,Sylvia atricapilla,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_atricapilla/1052813469.mp3
616,1249269345,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_trochilus_Lue0091_05_short.mp3,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/1249269345.mp3
345,1269848114,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Kr0094_02_short.mp3,Corvus corax,Corvus,Corvidae,Aves,Chordata,Chordata/Aves/Corvidae/Corvus/Corvus_corax/1269848114.mp3
1647,1229953709,http://www.tierstimmenarchiv.de/recordings/Leptasthenura_platensis_Lue0076_02_short.mp3,Leptasthenura platensis,Leptasthenura,Furnariidae,Aves,Chordata,Chordata/Aves/Furnariidae/Leptasthenura/Leptasthenura_platensis/1229953709.mp3
14399,779847442,http://www.tierstimmenarchiv.de/recordings/Bubulcus_ibis_V2030_16_short.mp3,Bubulcus ibis,Bubulcus,Ardeidae,Aves,Chordata,Chordata/Aves/Ardeidae/Bubulcus/Bubulcus_ibis/779847442.mp3
13668,779849617,http://www.tierstimmenarchiv.de/recordings/Certhia_familiaris_CoMC0022_07_short.mp3,Certhia familiaris,Certhia,Certhiidae,Aves,Chordata,Chordata/Aves/Certhiidae/Certhia/Certhia_familiaris/779849617.mp3
11597,779854455,http://www.tierstimmenarchiv.de/recordings/Erithacus_rubecula_Co0011_02_short.mp3,Erithacus rubecula,Erithacus,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Erithacus/Erithacus_rubecula/779854455.mp3
8359,779862988,http://www.tierstimmenarchiv.de/recordings/Phoenicurus_phoenicurus_DIG0143_19_short.mp3,Phoenicurus phoenicurus,Phoenicurus,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Phoenicurus/Phoenicurus_phoenicurus/779862988.mp3
8744,779861816,http://www.tierstimmenarchiv.de/recordings/Panthera_tigris_V1502_48_short.mp3,Panthera tigris,Panthera,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Panthera/Panthera_tigris/779861816.mp3
7436,779864606,http://www.tierstimmenarchiv.de/recordings/Porzana_porzana_DIG0107_17_short.mp3,Porzana porzana,Porzana,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Porzana/Porzana_porzana/779864606.mp3
8821,779861609,http://www.tierstimmenarchiv.de/recordings/Panthera_pardus_V2019_05_short.mp3,Panthera pardus,Panthera,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Panthera/Panthera_pardus/779861609.mp3
10439,779857106,http://www.tierstimmenarchiv.de/recordings/Aratinga_guarouba_V1662_09_short.mp3,Guaruba guarouba,Guaruba,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Guaruba/Guaruba_guarouba/779857106.mp3
14652,779846852,http://www.tierstimmenarchiv.de/recordings/Aythya_ferina_V1742_06_short.mp3,Aythya ferina,Aythya,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Aythya/Aythya_ferina/779846852.mp3
3273,1132421217,http://www.tierstimmenarchiv.de/recordings/Porzana_porzana_DIG0190_12_short.mp3,Porzana porzana,Porzana,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Porzana/Porzana_porzana/1132421217.mp3
10641,779856396,http://www.tierstimmenarchiv.de/recordings/Gallinago_gallinago_V1603_06_short.mp3,Gallinago gallinago,Gallinago,Scolopacidae,Aves,Chordata,Chordata/Aves/Scolopacidae/Gallinago/Gallinago_gallinago/779856396.mp3
5468,893457301,http://www.tierstimmenarchiv.de/recordings/Certhia_familiaris_Thi_Certhia_60_0001_01_short.mp3,Certhia familiaris,Certhia,Certhiidae,Aves,Chordata,Chordata/Aves/Certhiidae/Certhia/Certhia_familiaris/893457301.mp3
11491,779854680,http://www.tierstimmenarchiv.de/recordings/Falco_subbuteo_PF01503_short.mp3,Falco subbuteo,Falco,Falconidae,Aves,Chordata,Chordata/Aves/Falconidae/Falco/Falco_subbuteo/779854680.mp3
14086,779848862,http://www.tierstimmenarchiv.de/recordings/Canis_lupus_f_familiaris_S1458_16_short.mp3,Canis lupus,Canis,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Canis/Canis_lupus/779848862.mp3
9612,779859228,http://www.tierstimmenarchiv.de/recordings/Lycaon_pictus_S1436_16_short.mp3,Lycaon pictus,Lycaon,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Lycaon/Lycaon_pictus/779859228.mp3
11060,779855602,http://www.tierstimmenarchiv.de/recordings/Fringilla_coelebs_DIG0007_21_short.mp3,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855602.mp3
7927,779863679,http://www.tierstimmenarchiv.de/recordings/Fa_C0013_Phylloscopus_trochilus_001_short.mp3,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/779863679.mp3
14212,779848006,http://www.tierstimmenarchiv.de/recordings/Canau018_short.mp3,Canis anthus,Canis,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Canis/Canis_anthus/779848006.mp3
13123,779851055,http://www.tierstimmenarchiv.de/recordings/Coccothraustes_coccothraustes_PF00891_short.mp3,Coccothraustes coccothraustes,Coccothraustes,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Coccothraustes/Coccothraustes_coccothraustes/779851055.mp3
895,1249268869,http://www.tierstimmenarchiv.de/recordings/Delichon_urbicum_Lue0102_04_short.mp3,Delichon urbicum,Delichon,Hirundinidae,Aves,Chordata,Chordata/Aves/Hirundinidae/Delichon/Delichon_urbicum/1249268869.mp3
9278,779860284,http://www.tierstimmenarchiv.de/recordings/Nestor_notabilis_V2079_21_short.mp3,Nestor notabilis,Nestor,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Nestor/Nestor_notabilis/779860284.mp3
14416,779847394,http://www.tierstimmenarchiv.de/recordings/Bucephala_clangula_PF00588_short.mp3,Bucephala clangula,Bucephala,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Bucephala/Bucephala_clangula/779847394.mp3
7192,779865190,http://www.tierstimmenarchiv.de/recordings/Pyrrhula_pyrrhula_DIG0001_13_short.mp3,Pyrrhula pyrrhula,Pyrrhula,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Pyrrhula/Pyrrhula_pyrrhula/779865190.mp3
5136,893491483,http://www.tierstimmenarchiv.de/recordings/Sylvia_borin_DIG0161_37_short.mp3,Sylvia borin,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_borin/893491483.mp3
11230,779855408,http://www.tierstimmenarchiv.de/recordings/Fringilla_coelebs_Co0146_05_short.mp3,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855408.mp3
15655,779845049,http://www.tierstimmenarchiv.de/recordings/Alauda_arvensis_V2074_08_short.mp3,Alauda arvensis,Alauda,Alaudidae,Aves,Chordata,Chordata/Aves/Alaudidae/Alauda/Alauda_arvensis/779845049.mp3
6493,779867371,http://www.tierstimmenarchiv.de/recordings/Sylvia_melanocephala_KrDAT0003_10_short.mp3,Sylvia melanocephala,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_melanocephala/779867371.mp3
13146,779851032,http://www.tierstimmenarchiv.de/recordings/Coccothraustes_coccothraustes_PF00868_short.mp3,Coccothraustes coccothraustes,Coccothraustes,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Coccothraustes/Coccothraustes_coccothraustes/779851032.mp3
15897,779844728,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_scirpaceus_V2030_05_short.mp3,Acrocephalus scirpaceus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_scirpaceus/779844728.mp3
6863,779866279,http://www.tierstimmenarchiv.de/recordings/Spheniscus_humboldti_V2106_08_short.mp3,Spheniscus humboldti,Spheniscus,Spheniscidae,Aves,Chordata,Chordata/Aves/Spheniscidae/Spheniscus/Spheniscus_humboldti/779866279.mp3
3456,1062919833,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_trochilus_Ski0014_37_short.mp3,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/1062919833.mp3
14123,779848494,http://www.tierstimmenarchiv.de/recordings/Canis_lupus_f_familiaris_S1454_06_short.mp3,Canis lupus,Canis,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Canis/Canis_lupus/779848494.mp3
15749,779844899,http://www.tierstimmenarchiv.de/recordings/Alauda_arvensis_PF00139_short.mp3,Alauda arvensis,Alauda,Alaudidae,Aves,Chordata,Chordata/Aves/Alaudidae/Alauda/Alauda_arvensis/779844899.mp3
10655,779856382,http://www.tierstimmenarchiv.de/recordings/Gallinago_gallinago_V1168_04_short.mp3,Gallinago gallinago,Gallinago,Scolopacidae,Aves,Chordata,Chordata/Aves/Scolopacidae/Gallinago/Gallinago_gallinago/779856382.mp3
1974,1229950902,http://www.tierstimmenarchiv.de/recordings/Buteo_buteo_Lue0060_06_short.mp3,Buteo buteo,Buteo,Accipitridae,Aves,Chordata,Chordata/Aves/Accipitridae/Buteo/Buteo_buteo/1229950902.mp3
14945,779846434,http://www.tierstimmenarchiv.de/recordings/Apus_apus_PF00394_short.mp3,Apus apus,Apus,Apodidae,Aves,Chordata,Chordata/Aves/Apodidae/Apus/Apus_apus/779846434.mp3
13673,779849611,http://www.tierstimmenarchiv.de/recordings/Certhia_brachydactyla_V1825_04_short.mp3,Certhia brachydactyla,Certhia,Certhiidae,Aves,Chordata,Chordata/Aves/Certhiidae/Certhia/Certhia_brachydactyla/779849611.mp3
7047,779865688,http://www.tierstimmenarchiv.de/recordings/Rhinoceros_unicornis_S1173_04_short.mp3,Rhinoceros unicornis,Rhinoceros,Rhinocerotidae,Mammalia,Chordata,Chordata/Mammalia/Rhinocerotidae/Rhinoceros/Rhinoceros_unicornis/779865688.mp3
3124,1142105508,http://www.tierstimmenarchiv.de/recordings/Struthio_camelus_Lue0043_04_short.mp3,Struthio camelus,Struthio,Struthionidae,Aves,Chordata,Chordata/Aves/Struthionidae/Struthio/Struthio_camelus/1142105508.mp3
12129,779853653,http://www.tierstimmenarchiv.de/recordings/Emberiza_hortulana_Co0107_09_short.mp3,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853653.mp3
2520,1143567623,http://www.tierstimmenarchiv.de/recordings/Turdus_philomelos_Bru_DAT0004_57_short.mp3,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/1143567623.mp3
12121,779853661,http://www.tierstimmenarchiv.de/recordings/Emberiza_hortulana_Co0109_12_short.mp3,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853661.mp3
14823,779846619,http://www.tierstimmenarchiv.de/recordings/Ardea_cinerea_PF00476_short.mp3,Ardea cinerea,Ardea,Ardeidae,Aves,Chordata,Chordata/Aves/Ardeidae/Ardea/Ardea_cinerea/779846619.mp3
13198,779850952,http://www.tierstimmenarchiv.de/recordings/Picus_miniaceus_DIG0144_31_short.mp3,Chrysophlegma miniaceum,Chrysophlegma,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Chrysophlegma/Chrysophlegma_miniaceum/779850952.mp3
5018,991874350,http://www.tierstimmenarchiv.de/recordings/Bombina_bombina_Kr0003_05_short.mp3,Bombina bombina,Bombina,Bombinatoridae,Amphibia,Chordata,Chordata/Amphibia/Bombinatoridae/Bombina/Bombina_bombina/991874350.mp3
757,1249269173,http://www.tierstimmenarchiv.de/recordings/Hirundo_rustica_Lue0102_06_short.mp3,Hirundo rustica,Hirundo,Hirundinidae,Aves,Chordata,Chordata/Aves/Hirundinidae/Hirundo/Hirundo_rustica/1249269173.mp3
7668,779864164,http://www.tierstimmenarchiv.de/recordings/Ajaia_ajaja_V1662_40_short.mp3,Platalea ajaja,Platalea,Threskiornithidae,Aves,Chordata,Chordata/Aves/Threskiornithidae/Platalea/Platalea_ajaja/779864164.mp3
902,1249268816,http://www.tierstimmenarchiv.de/recordings/Cyanistes_caeruleus_Lue0094_03_short.mp3,Cyanistes caeruleus,Cyanistes,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Cyanistes/Cyanistes_caeruleus/1249268816.mp3
11287,779855345,http://www.tierstimmenarchiv.de/recordings/Fringilla_coelebs_CoMC0002_01_short.mp3,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855345.mp3
7972,779863618,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_sibilatrix_DIG0060_11_short.mp3,Phylloscopus sibillatrix,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_sibillatrix/779863618.mp3
12311,779853400,http://www.tierstimmenarchiv.de/recordings/Emberiza_citrinella_CoMC0006_08_short.mp3,Emberiza citrinella,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_citrinella/779853400.mp3
6737,779866834,http://www.tierstimmenarchiv.de/recordings/Sundasciurus_tenuis_DIG0144_34_short.mp3,Sundasciurus tenuis,Sundasciurus,Sciuridae,Mammalia,Chordata,Chordata/Mammalia/Sciuridae/Sundasciurus/Sundasciurus_tenuis/779866834.mp3
4557,1052804065,http://www.tierstimmenarchiv.de/recordings/Chloris_chloris_Tre_N0112_01_short.mp3,Chloris chloris,Chloris,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Chloris/Chloris_chloris/1052804065.mp3
3623,1052813818,http://www.tierstimmenarchiv.de/recordings/Turdus_philomelos_Tre_N0125_03_short.mp3,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/1052813818.mp3
9678,779859116,http://www.tierstimmenarchiv.de/recordings/Luscinia_megarhynchos_V2083_07_short.mp3,Luscinia megarhynchos,Luscinia,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Luscinia/Luscinia_megarhynchos/779859116.mp3
11151,779855490,http://www.tierstimmenarchiv.de/recordings/Fringilla_coelebs_Co0005_03_short.mp3,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855490.mp3
7505,779864536,http://www.tierstimmenarchiv.de/recordings/Pongo_pygmaeus_S0997_03_short.mp3,Pongo pygmaeus,Pongo,Hominidae,Mammalia,Chordata,Chordata/Mammalia/Hominidae/Pongo/Pongo_pygmaeus/779864536.mp3
8452,779862791,http://www.tierstimmenarchiv.de/recordings/Fa_N0974_2_Phylloscopus_bonelli_032_short.mp3,Phylloscopus bonelli,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_bonelli/779862791.mp3
13640,779849648,http://www.tierstimmenarchiv.de/recordings/Cervus_elaphus_S1018_02_short.mp3,Cervus elaphus,Cervus,Cervidae,Mammalia,Chordata,Chordata/Mammalia/Cervidae/Cervus/Cervus_elaphus/779849648.mp3
1687,1229953669,http://www.tierstimmenarchiv.de/recordings/Jabiru_mycteria_Lue0062_03_short.mp3,Jabiru mycteria,Jabiru,Ciconiidae,Aves,Chordata,Chordata/Aves/Ciconiidae/Jabiru/Jabiru_mycteria/1229953669.mp3
14615,779846940,http://www.tierstimmenarchiv.de/recordings/Balearica_regulorum_V2053_16_short.mp3,Balearica regulorum,Balearica,Gruidae,Aves,Chordata,Chordata/Aves/Gruidae/Balearica/Balearica_regulorum/779846940.mp3
3034,1143514508,http://www.tierstimmenarchiv.de/recordings/Aratinga_pertinax_Lue0054_03_short.mp3,Aratinga pertinax,Aratinga,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Aratinga/Aratinga_pertinax/1143514508.mp3
98,1451081527,http://www.tierstimmenarchiv.de/recordings/Cuculus_canorus_Bru_DAT0098_27_short.mp3,Cuculus canorus,Cuculus,Cuculidae,Aves,Chordata,Chordata/Aves/Cuculidae/Cuculus/Cuculus_canorus/1451081527.mp3
5028,991813370,http://www.tierstimmenarchiv.de/recordings/Anthus_hodgsoni_V2216_04_short.mp3,Anthus hodgsoni,Anthus,Motacillidae,Aves,Chordata,Chordata/Aves/Motacillidae/Anthus/Anthus_hodgsoni/991813370.mp3
14905,779846474,http://www.tierstimmenarchiv.de/recordings/Apus_apus_PF00434_short.mp3,Apus apus,Apus,Apodidae,Aves,Chordata,Chordata/Aves/Apodidae/Apus/Apus_apus/779846474.mp3
8309,779863071,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_bonelli_CoMC0024_13_short.mp3,Phylloscopus bonelli,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_bonelli/779863071.mp3
515,1249269446,http://www.tierstimmenarchiv.de/recordings/Sylvia_undata_Lue0094_01_short.mp3,Sylvia undata,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_undata/1249269446.mp3
7350,779864774,http://www.tierstimmenarchiv.de/recordings/Prunella_fulvescens_V2028_14_short.mp3,Prunella fulvescens,Prunella,Prunellidae,Aves,Chordata,Chordata/Aves/Prunellidae/Prunella/Prunella_fulvescens/779864774.mp3
2420,1143570940,http://www.tierstimmenarchiv.de/recordings/Vanellus_spinosus_Lue0048_04_short.mp3,Vanellus spinosus,Vanellus,Charadriidae,Aves,Chordata,Chordata/Aves/Charadriidae/Vanellus/Vanellus_spinosus/1143570940.mp3
946,1249268354,http://www.tierstimmenarchiv.de/recordings/Bradornis_mariquensis_Lue0098_01_short.mp3,Bradornis mariquensis,Bradornis,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Bradornis/Bradornis_mariquensis/1249268354.mp3
14316,779847768,http://www.tierstimmenarchiv.de/recordings/Ceratogymna_brevis_V2081_05_short.mp3,Bycanistes brevis,Bycanistes,Bucerotidae,Aves,Chordata,Chordata/Aves/Bucerotidae/Bycanistes/Bycanistes_brevis/779847768.mp3
14243,779847955,http://www.tierstimmenarchiv.de/recordings/Calyptorhynchus_magnificus_V2106_14_short.mp3,Calyptorhynchus banksii,Calyptorhynchus,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Calyptorhynchus/Calyptorhynchus_banksii/779847955.mp3
5143,893491433,http://www.tierstimmenarchiv.de/recordings/Sitta_europaea_Thi_Certhia_60_0003_01_short.mp3,Sitta europaea,Sitta,Sittidae,Aves,Chordata,Chordata/Aves/Sittidae/Sitta/Sitta_europaea/893491433.mp3
4466,1052806434,http://www.tierstimmenarchiv.de/recordings/Dryocopus_martius_Tre_N0146_03_short.mp3,Dryocopus martius,Dryocopus,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Dryocopus/Dryocopus_martius/1052806434.mp3
1176,1230056825,http://www.tierstimmenarchiv.de/recordings/Erythrura_gouldiae_Lue0082_03_short.mp3,Erythrura gouldiae,Erythrura,Estrildidae,Aves,Chordata,Chordata/Aves/Estrildidae/Erythrura/Erythrura_gouldiae/1230056825.mp3
12738,779852292,http://www.tierstimmenarchiv.de/recordings/Cygnus_cygnus_V2048_01_short.mp3,Cygnus cygnus,Cygnus,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Cygnus/Cygnus_cygnus/779852292.mp3
2834,1143514987,http://www.tierstimmenarchiv.de/recordings/Larus_dominicanus_Lue0049_03_short.mp3,Larus dominicanus,Larus,Laridae,Aves,Chordata,Chordata/Aves/Laridae/Larus/Larus_dominicanus/1143514987.mp3
2389,1228009815,http://www.tierstimmenarchiv.de/recordings/Cacatua_tenuirostris_Lue0056_01_short.mp3,Cacatua tenuirostris,Cacatua,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Cacatua/Cacatua_tenuirostris/1228009815.mp3
6450,779867433,http://www.tierstimmenarchiv.de/recordings/Syrigma_sibilatrix_V2130_25_short.mp3,Syrigma sibilatrix,Syrigma,Ardeidae,Aves,Chordata,Chordata/Aves/Ardeidae/Syrigma/Syrigma_sibilatrix/779867433.mp3
5529,893450314,http://www.tierstimmenarchiv.de/recordings/Botaurus_stellaris_DIG0161_16_short.mp3,Botaurus stellaris,Botaurus,Ardeidae,Aves,Chordata,Chordata/Aves/Ardeidae/Botaurus/Botaurus_stellaris/893450314.mp3
11841,779853947,http://www.tierstimmenarchiv.de/recordings/Emberiza_hortulana_Co0054_05_short.mp3,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853947.mp3
5662,779869357,http://www.tierstimmenarchiv.de/recordings/Alopex_lagopus_DIG0024_15_short.mp3,Vulpes lagopus,Vulpes,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Vulpes/Vulpes_lagopus/779869357.mp3
15489,779845498,http://www.tierstimmenarchiv.de/recordings/Anas_querquedula_DIG0104_04_short.mp3,Anas querquedula,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_querquedula/779845498.mp3
12463,779853036,http://www.tierstimmenarchiv.de/recordings/Dryocopus_martius_DIG0074_03_short.mp3,Dryocopus martius,Dryocopus,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Dryocopus/Dryocopus_martius/779853036.mp3
3487,1062842344,http://www.tierstimmenarchiv.de/recordings/Hyla_arborea_Kr0008_04_short.mp3,Hyla arborea,Hyla,Hylidae,Amphibia,Chordata,Chordata/Amphibia/Hylidae/Hyla/Hyla_arborea/1062842344.mp3
7638,779864251,http://www.tierstimmenarchiv.de/recordings/Parus_montanus_Co0022_11_short.mp3,Poecile montanus,Poecile,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Poecile/Poecile_montanus/779864251.mp3
1046,1230246853,http://www.tierstimmenarchiv.de/recordings/Serinus_serinus_Lue0084_06_short.mp3,Serinus serinus,Serinus,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Serinus/Serinus_serinus/1230246853.mp3
13558,779849740,http://www.tierstimmenarchiv.de/recordings/Cervus_elaphus_V1850_08_short.mp3,Cervus elaphus,Cervus,Cervidae,Mammalia,Chordata,Chordata/Mammalia/Cervidae/Cervus/Cervus_elaphus/779849740.mp3
246,1272071675,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0193_07_short.mp3,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/1272071675.mp3
6434,779867464,http://www.tierstimmenarchiv.de/recordings/Tachybaptus_ruficollis_M0006_10_short.mp3,Tachybaptus ruficollis,Tachybaptus,Podicipedidae,Aves,Chordata,Chordata/Aves/Podicipedidae/Tachybaptus/Tachybaptus_ruficollis/779867464.mp3
8474,779862769,http://www.tierstimmenarchiv.de/recordings/Fa_N0546_Phylloscopus_bonelli_010_short.mp3,Phylloscopus bonelli,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_bonelli/779862769.mp3
13127,779851051,http://www.tierstimmenarchiv.de/recordings/Coccothraustes_coccothraustes_PF00887_short.mp3,Coccothraustes coccothraustes,Coccothraustes,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Coccothraustes/Coccothraustes_coccothraustes/779851051.mp3
719,1249269211,http://www.tierstimmenarchiv.de/recordings/Leiothrix_argentauris_Lue0095_01_short.mp3,Leiothrix argentauris,Leiothrix,Leiothrichidae,Aves,Chordata,Chordata/Aves/Leiothrichidae/Leiothrix/Leiothrix_argentauris/1249269211.mp3
5585,779869822,http://www.tierstimmenarchiv.de/recordings/Vulpes_rueppellii_V1522_16_2_short.mp3,Vulpes rueppellii,Vulpes,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Vulpes/Vulpes_rueppellii/779869822.mp3
11753,779854100,http://www.tierstimmenarchiv.de/recordings/Emberiza_schoeniclus_Co0041_13_short.mp3,Emberiza schoeniclus,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_schoeniclus/779854100.mp3
14501,779847182,http://www.tierstimmenarchiv.de/recordings/Boselaphus_tragocamelus_S1483_01_short.mp3,Boselaphus tragocamelus,Boselaphus,Bovidae,Mammalia,Chordata,Chordata/Mammalia/Bovidae/Boselaphus/Boselaphus_tragocamelus/779847182.mp3
13394,779850054,http://www.tierstimmenarchiv.de/recordings/Carduelis_chloris_PF00755_short.mp3,Chloris chloris,Chloris,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Chloris/Chloris_chloris/779850054.mp3
9274,779860288,http://www.tierstimmenarchiv.de/recordings/Nestor_notabilis_V2113_06_short.mp3,Nestor notabilis,Nestor,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Nestor/Nestor_notabilis/779860288.mp3
5588,779869819,http://www.tierstimmenarchiv.de/recordings/Vulpes_rueppellii_S1367_18_short.mp3,Vulpes rueppellii,Vulpes,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Vulpes/Vulpes_rueppellii/779869819.mp3
11025,779855637,http://www.tierstimmenarchiv.de/recordings/Fringilla_coelebs_Tre_P0089_01_short.mp3,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855637.mp3
2495,1143567650,http://www.tierstimmenarchiv.de/recordings/Turdus_philomelos_Bru_DAT0002_27_short.mp3,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/1143567650.mp3
6822,779866487,http://www.tierstimmenarchiv.de/recordings/Streptopelia_roseogrisea_V1692_09_short.mp3,Streptopelia roseogrisea,Streptopelia,Columbidae,Aves,Chordata,Chordata/Aves/Columbidae/Streptopelia/Streptopelia_roseogrisea/779866487.mp3
8165,779863217,http://www.tierstimmenarchiv.de/recordings/Fa_N0566_2_Phylloscopus_collybita_099_short.mp3,Phylloscopus collybita,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_collybita/779863217.mp3
1496,1229954230,http://www.tierstimmenarchiv.de/recordings/Phoenicopterus_chilensis_Lue0063_04_short.mp3,Phoenicopterus chilensis,Phoenicopterus,Phoenicopteridae,Aves,Chordata,Chordata/Aves/Phoenicopteridae/Phoenicopterus/Phoenicopterus_chilensis/1229954230.mp3
2028,1229950828,http://www.tierstimmenarchiv.de/recordings/Ardea_goliath_Lue0062_01_short.mp3,Ardea goliath,Ardea,Ardeidae,Aves,Chordata,Chordata/Aves/Ardeidae/Ardea/Ardea_goliath/1229950828.mp3
6808,779866507,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_DIG0116_11_short.mp3,Strix aluco,Strix,Strigidae,Aves,Chordata,Chordata/Aves/Strigidae/Strix/Strix_aluco/779866507.mp3
